fetch_time_utc,latest_market_date,previous_regime,top_regime,rule_top_regime,student_t_top_regime,change_point_risk_score,change_point_risk_level,ensemble_prob_R0,ensemble_prob_R1,ensemble_prob_R2,ensemble_prob_R3,rule_prob_R0,rule_prob_R1,rule_prob_R2,rule_prob_R3,student_t_prob_R0,student_t_prob_R1,student_t_prob_R2,student_t_prob_R3,us10y_level,us30y_level,us10y_20d_change_bp,us30y_20d_change_bp,dxy_20d_return,spy_20d_return,qqq_20d_return,iwm_spy_20d_relative,eem_spy_20d_relative,tlt_20d_return,hyg_20d_return,hy_oas_20d_change_bp,ig_oas_20d_change_bp
2026-05-30T08:41:43.411165+00:00,2026-05-29,R0,R0,R0,R0,0.0888056545229973,low,0.7051006406543687,0.140880027342514,0.0527992055066131,0.1012201264965041,0.6274248715218221,0.1753098171495287,0.0604554941791203,0.1368098171495287,0.9741473984089648,0.0083112931450123,0.0174669992726332,7.430917338946027e-05,4.45,4.98,3.000000000000025,0.0,0.8462498119488071,5.262573224822242,10.568485990999111,-0.7800782072447499,1.9416722428030608,0.5333823684742223,0.4364615623003498,-10.999999999999988,-8.000000000000007
2026-06-02T12:55:02.489307+00:00,2026-06-02,R0,R0,R0,R0,0.0698779401207409,low,0.7100375409983887,0.1396902835216332,0.0488792836946142,0.1013928917853637,0.6274248715218221,0.1753098171495287,0.0604554941791203,0.1368098171495287,0.989468070024896,0.0037776489766755,0.0067350113422487,1.926965617978296e-05,4.45,4.99,4.999999999999982,0.9999999999999788,0.6194786257637475,5.257746802144125,10.174288116347308,-1.784525572758211,4.020289736863526,0.229155816740123,0.235675945527003,-3.999999999999959,-6.000000000000005
2026-06-03T16:11:38.052990+00:00,2026-06-03,R0,R0,R1,R0,0.0644814081489435,low,0.4907403451297879,0.3554276147407698,0.0521976918129312,0.1016343483165109,0.2803098171495287,0.5224248715218222,0.0604554941791203,0.1368098171495287,0.9523837339558392,0.0285100816700567,0.0184619440131604,0.0006442403609437,,,,,1.0062929332580683,4.350828216782099,9.131320193654837,-2.376020339496976,2.453448303733441,0.0819196654715304,0.2037627210172088,-4.000000000000004,-4.000000000000004
2026-06-04T11:29:21.021627+00:00,2026-06-04,R0,R0,R1,R0,0.0656452254516577,low,0.4859299096940359,0.3589242202545776,0.0535373216832564,0.1016085483681299,0.2803098171495287,0.5224248715218222,0.0604554941791203,0.1368098171495287,0.9364187782081618,0.0402003479018309,0.0227838394469095,0.0005970344430976,,,,,1.2273035818070488,4.20989677395851,9.18414312677738,-2.401425683467018,2.7014129165738865,0.2523129282806291,0.2100475478332919,-4.000000000000004,-4.000000000000004
2026-06-05T11:48:11.449298+00:00,2026-06-05,R0,R0,R0,R0,0.0488295808718463,low,0.6217615810307943,0.179522921717122,0.0662406523151538,0.1324748449369298,0.5019421099947567,0.2265413027381913,0.0834752845288605,0.1880413027381913,0.9449174916321116,0.0334586876735129,0.021162623685264,0.0004611970091115,,,,,0.9791328100151152,3.1696727067485497,6.444653342568829,-1.353068036452254,-0.7841331285707742,-0.2831078563787059,0.0980941382294986,-4.000000000000004,-5.000000000000004
2026-06-06T09:14:10.089524+00:00,2026-06-05,R0,R1,R1,R0,0.0552186630975335,low,0.3910797706768532,0.4637070536804679,0.0707806880190738,0.074432487623605,0.2873671008973051,0.5573798267527149,0.06362653617499,0.09162653617499,0.6055114869140861,0.3192537519890559,0.0752055859315703,2.917516528776711e-05,,,,,1.8524169921875,0.8160379676406482,1.4562401188066287,-1.0321563861325769,-3.8194921048831376,-0.2982293587572515,-0.0293160178381213,-6.999999999999984,-5.000000000000004
2026-06-09T10:52:01.192981+00:00,2026-06-09,R1,R1,R1,R1,0.0539123866892025,low,0.2607734366113249,0.5499742215356043,0.1148123699533823,0.0744399718996884,0.182367100897305,0.6203798267527149,0.10562653617499,0.09162653617499,0.3810786634444917,0.4807717898805939,0.1381389664696261,1.0580205288017698e-05,,,,,1.8633825839794227,0.216910549677185,0.680515021636019,-0.2380345505693992,-3.4403464677064566,-1.3094305605396706,-0.2406365558390577,-3.000000000000025,-4.000000000000004
2026-06-10T12:06:36.664965+00:00,2026-06-10,R1,R1,R1,R0,0.0569506059466703,low,0.3390874539941642,0.4931720817557497,0.0933327796512866,0.0744076845987994,0.182367100897305,0.6203798267527149,0.10562653617499,0.09162653617499,0.6423076812094041,0.2915224705254694,0.0661656184208859,4.229844240540668e-06,,,,,2.1084283852730312,0.216910549677185,0.680515021636019,-0.2380345505693992,-3.4403464677064566,-1.3094305605396706,-0.2406365558390577,-6.999999999999984,-2.0000000000000018
2026-06-11T13:06:48.526899+00:00,2026-06-11,R1,R1,R1,R0,0.0417612930644735,low,0.3742874673060284,0.4173646615634402,0.1103270629436072,0.0980208081869239,0.1692298315050484,0.5553105054848545,0.1447298315050484,0.1307298315050484,0.7850042389271998,0.1685140330336927,0.0464799873239754,1.7407151321725404e-06,,,,,1.6003212278676404,-1.7272210201448757,-1.9158967224800705,1.543188915614635,-0.0351552151835798,0.2633973326277461,0.0084970275285423,-4.000000000000004,-1.0000000000000009
2026-06-12T12:06:27.473343+00:00,2026-06-12,R1,R0,R1,R0,0.0494632715731597,low,0.5170412126171305,0.2626332910843928,0.1109621865057855,0.1093633097926912,0.311741706366474,0.3747417063664741,0.1637582936335259,0.1497582936335259,0.9762884256185428,0.0141114556955559,0.0095902309248768,9.88776102432682e-06,,,,,0.898058771184429,-0.6129498198775951,0.3371959354759868,3.3511214923934607,1.0444345981512115,1.7903131855809162,0.5496120529453918,4.000000000000004,-1.0000000000000009
2026-06-13T10:12:53.845593+00:00,2026-06-12,R0,R0,R0,R0,0.0508537176959875,low,0.5805534402551703,0.2245556629151304,0.0855421525989837,0.1093487442307156,0.416741706366474,0.311741706366474,0.1217582936335259,0.1497582936335259,0.9780792778460452,0.0132277418483662,0.008685296213722,7.684091866487543e-06,,,,,0.8798571710639358,-0.8580914841283094,0.2153473756849377,3.8463142421619634,1.6001514728212318,1.3982109718341906,0.6251729842449594,-2.0000000000000018,0.0
2026-06-16T18:12:59.067557+00:00,2026-06-16,R0,R0,R0,R0,0.1015665468658156,low,0.7334482276078376,0.1425291573204707,0.0500543049042793,0.0739683101674123,0.6623798267527149,0.182367100897305,0.06362653617499,0.09162653617499,0.999495097999311,7.665234626693424e-05,0.0004014032175006,2.684643692147841e-05,4.48,4.97,1.0000000000000675,-4.999999999999982,0.5547094724748236,1.8303605292396163,4.029722775465361,4.858238113274616,4.870361426199388,3.7093478002816926,1.1626654768392974,-19.99999999999997,-3.0000000000000027
2026-06-17T01:58:54.498473+00:00,2026-06-16,R0,R0,R0,R0,0.1136664914720902,low,0.7331547798522213,0.1424238093347297,0.0505578446861537,0.0738635661268952,0.6623798267527149,0.182367100897305,0.06362653617499,0.09162653617499,0.9992429354903,8.8490731985048e-05,0.0005875426556413,8.103112207365155e-05,4.47,4.97,-12.00000000000001,-15.000000000000036,0.553699620326431,1.5812620713099523,3.3971752001575872,4.508014793115822,4.616633655576008,3.553162322808689,1.1310719350335674,-19.99999999999997,-3.0000000000000027
2026-06-18T01:59:52.605524+00:00,2026-06-17,R0,R0,R0,R0,0.1517337449791856,low,0.7110114436595172,0.1379257002972133,0.0504576777726395,0.10060517827063,0.6274248715218221,0.1753098171495287,0.0604554941791203,0.1368098171495287,0.997625760520164,0.0003513790410292,0.0019007756697915,0.0001220847690152,4.43,4.93,-18.00000000000006,-21.0,0.9778455604685156,0.9853817748168404,2.990603337362141,5.450281814644953,6.260730577240525,4.396010541228845,0.9932258661818684,-8.999999999999986,0.0
2026-06-19T02:12:03.782951+00:00,2026-06-18,R0,R0,R0,R0,0.1878828381157611,low,0.6087842123162184,0.247845792864259,0.0629530801165544,0.0804169147029681,0.4629059751685255,0.3579059751685255,0.0755940248314745,0.1035940248314745,0.9880750610039564,0.002643844353952,0.0088166673579551,0.0004644272841366,4.49,4.93,-17.99999999999997,-25.0,1.7626895744027982,1.0001706370109886,3.851920320089008,4.867887624510492,7.704306970732677,3.791217327502783,0.7006749117686839,-14.999999999999991,-1.0000000000000009
2026-06-20T01:34:37.955448+00:00,2026-06-19,R0,R0,R0,R0,0.1797079863593452,low,0.6091437697656014,0.2478653387690338,0.062500560276432,0.0804903311889325,0.4629059751685255,0.3579059751685255,0.0755940248314745,0.1035940248314745,0.9887830947298478,0.0024637518171757,0.0083164996075053,0.0004366538454709,4.49,4.93,-17.99999999999997,-25.0,1.754614471170024,1.0001706370109886,3.851920320089008,4.867887624510492,7.704306970732677,3.791217327502783,0.7006749117686839,-14.999999999999991,-1.0000000000000009
2026-06-23T01:28:07.151465+00:00,2026-06-22,R0,R0,R0,R0,0.146668503730817,low,0.6104490465376988,0.2481997860287839,0.0606477317056868,0.0807034357278304,0.4629059751685255,0.3579059751685255,0.0755940248314745,0.1035940248314745,0.9911516483457942,0.0025873915374866,0.0062152738958729,4.5686220846282494e-05,4.46,4.9,-11.000000000000032,-21.0,1.876197212652042,0.4830584335843157,3.2805701979031987,5.322140257305708,7.922408647921087,2.622440870621912,0.562196051392605,-8.000000000000007,0.0
2026-06-24T01:22:09.186603+00:00,2026-06-23,R0,R0,R1,R0,0.1203855356908604,low,0.5403343009370426,0.2983761489563744,0.0706023527301732,0.0906871973764098,0.3501063673408463,0.4382594211080721,0.0918171057755407,0.1198171057755407,0.9814580672499008,0.0083465537091627,0.0101927481476231,2.630893313211014e-06,4.51,4.95,-6.00000000000005,-14.999999999999948,2.120421681522555,-1.3639444131039902,-0.4328266317644047,5.1877025706653646,3.852008957922304,2.1953851640752253,0.4615654937329516,-7.000000000000028,0.0
2026-06-25T01:30:44.753250+00:00,2026-06-24,R0,R0,R1,R0,0.1119967785727346,low,0.5037931828751824,0.3198933054306738,0.0855425548236063,0.0907709568705374,0.3501063673408463,0.4382594211080721,0.0918171057755407,0.1198171057755407,0.8591510149499461,0.0798187459099504,0.0610280351703023,2.203969801063843e-06,4.5,4.94,-5.999999999999961,-12.99999999999999,2.3515183780170146,-2.0598534151166747,-2.5851894455166224,4.430008228587412,0.889605653212433,3.0830766322923475,0.0981940031171024,0.0,0.0
2026-06-26T01:34:52.583923+00:00,2026-06-25,R0,R1,R1,R2,0.1281047522572733,low,0.3159613265837128,0.3585791452250846,0.2348453138770975,0.0906142143141051,0.3501063673408463,0.4382594211080721,0.0918171057755407,0.1198171057755407,0.2340113057327862,0.2092547844351893,0.5567172485941797,1.6661237844638477e-05,4.41,4.86,-8.999999999999986,-16.999999999999993,2.2890875356332607,-1.9012728533778112,-1.6838398450686465,5.087149025686843,1.7890349147791085,2.806062296359091,0.1982905858577632,3.999999999999959,2.0000000000000018
2026-06-27T01:26:59.678571+00:00,2026-06-26,R1,R1,R1,R2,0.1248531344980868,low,0.1869114581182313,0.4121773095849708,0.3102680066984299,0.0906432255983679,0.2451063673408463,0.5012594211080721,0.1338171057755408,0.1198171057755407,0.0136499804489636,0.2618177837687011,0.7245272575222541,4.978260081126296e-06,4.4,4.86,-8.000000000000007,-14.999999999999948,2.3692190980810324,-3.1449697877736327,-3.847679676779492,6.0600792143646665,1.5843219749060555,2.290200992792357,0.0107623983593763,5.999999999999961,3.0000000000000027
2026-06-30T01:29:22.243335+00:00,2026-06-29,R1,R1,R1,R2,0.0969013982650714,low,0.1940389497921388,0.3829160075787298,0.3321203133480666,0.0909247292810647,0.2451063673408463,0.5012594211080721,0.1338171057755408,0.1198171057755407,0.0357311818546744,0.1634415583275739,0.8008156604897815,1.159932797007597e-05,4.38,4.87,-7.000000000000028,-11.000000000000032,2.351629069665906,-1.793967475360614,-1.8195936967648985,4.979238279781651,0.5993396115544503,2.3716909320116386,0.136420268001336,8.999999999999986,3.0000000000000027
2026-07-01T01:37:10.343169+00:00,2026-06-30,R1,R1,R1,R2,0.1043539465050442,low,0.2027068561118334,0.3749031265087817,0.3315380922275605,0.0908519251518243,0.2451063673408463,0.5012594211080721,0.1338171057755408,0.1198171057755407,0.0650713558147214,0.1369555312082797,0.7979557758051646,1.7337171834307627e-05,4.38,4.86,-7.000000000000028,-12.99999999999999,2.113911478409048,-1.2980332985263576,-0.7446386853765863,5.514409751500216,-0.5775681030450341,1.1114975250662296,0.1628317745185015,7.999999999999963,3.0000000000000027
2026-07-02T01:29:29.104460+00:00,2026-07-01,R1,R1,R1,R2,0.1418574637452966,low,0.1774623057440367,0.4919201265736517,0.2570597290569797,0.0735578386253318,0.182367100897305,0.6203798267527149,0.10562653617499,0.09162653617499,0.1086515985102301,0.2898964923191015,0.601450270644699,1.6385259693618778e-06,4.44,4.91,-2.999999999999936,-8.000000000000007,2.194116031386173,-1.5651966833958753,-2.706264870515196,4.4356009367757965,-4.048439406978899,0.216977940471752,0.0737697290857042,4.000000000000004,2.0000000000000018
2026-07-03T01:07:47.730167+00:00,2026-07-02,R1,R1,R1,R0,0.1307762920956588,low,0.2930208030849993,0.4147955237460751,0.2185149637671164,0.0736687094018091,0.182367100897305,0.6203798267527149,0.10562653617499,0.09162653617499,0.4931817193477937,0.032482047744357,0.4743343975152768,1.835392572463421e-06,4.48,4.97,2.000000000000046,0.0,1.3865215510276307,-0.9998447148781842,-4.142235408405693,4.690760725468135,-4.547219531518588,0.6046349180076183,0.5013838992107056,-0.9999999999999788,2.0000000000000018
2026-07-04T01:04:54.343143+00:00,2026-07-03,R1,R1,R1,R0,0.1291310226214765,low,0.397615351767616,0.4066324306790224,0.1220674004074552,0.0736848171459065,0.182367100897305,0.6203798267527149,0.10562653617499,0.09162653617499,0.841731498788065,0.0052223794366224,0.1530454362182219,6.855570907890989e-07,4.48,4.97,2.000000000000046,0.0,1.455586503255435,-0.9998447148781842,-4.142235408405693,4.690760725468135,-4.547219531518588,0.6046349180076183,0.5013838992107056,0.9999999999999788,1.0000000000000009
2026-07-07T01:13:06.028572+00:00,2026-07-06,R1,R0,R1,R0,0.0629855699293798,low,0.4800349043204719,0.3352706298911087,0.0934340147560839,0.0912604510323353,0.2451063673408463,0.5012594211080721,0.1338171057755408,0.1198171057755407,0.98701608058231,0.0036061578520996,0.0093776173445747,1.4422101554565397e-07,4.49,4.98,0.0,-0.9999999999999788,1.495824823398051,-0.5117646378935969,-2.2948173368268265,3.1146878038280645,-1.1941495872737184,0.3106287368167759,0.5139029055331257,-1.9999999999999567,1.0000000000000009
2026-07-08T00:57:23.034915+00:00,2026-07-07,R0,R0,R0,R0,0.053486711242328,low,0.6146849024850927,0.2482955702536315,0.0553979541299765,0.0816215731312992,0.4629059751685255,0.3579059751685255,0.0755940248314745,0.1035940248314745,0.999680260621131,0.000111218512324,0.0002084363837522,8.44827926170209e-08,4.48,4.99,1.0000000000000675,2.000000000000046,1.0532635732052542,1.6387084077548408,0.7303825228862637,3.773820967318664,0.6396609044551749,-0.2324549451433899,0.8809506118396149,-2.9999999999999805,0.0
2026-07-09T01:07:27.233868+00:00,2026-07-08,R0,R0,R0,R0,0.0501768258657096,low,0.734172514202248,0.1431169594737059,0.048236341798897,0.074474184525149,0.6623798267527149,0.182367100897305,0.06362653617499,0.09162653617499,0.9988260033873396,0.0004943012270475,0.0006795917895725,1.035960404598589e-07,4.55,5.05,0.0,4.000000000000004,0.9345302649416798,1.0958044107998388,-0.537399613557632,2.447877189746439,0.1578141855574477,0.060938419076062,0.6151371239759396,-10.999999999999988,1.0000000000000009
2026-07-10T01:05:58.852780+00:00,2026-07-09,R0,R0,R0,R0,0.0534008738903391,low,0.7342642889624222,0.1430536252180549,0.0482401043379255,0.0744419814815973,0.6623798267527149,0.182367100897305,0.06362653617499,0.09162653617499,0.9993253621360646,0.000379908482283,0.00029450099663,2.283850223540052e-07,4.56,5.06,0.0,2.999999999999936,0.913816786408428,2.2517606564892656,2.295026154237667,2.283668144985662,-0.2658821022275992,-0.3735405339878928,0.6275920433192805,-9.999999999999964,1.0000000000000009
2026-07-11T00:15:20.751570+00:00,2026-07-10,R0,R0,R0,R0,0.0567580535140029,low,0.5988423005205572,0.233713787622699,0.0525140826759483,0.1149298291807953,0.4376696411284611,0.3326696411284611,0.0704988968618355,0.1591618208812423,0.9975405360224422,0.0020760847574948,0.0003823219294297,1.0572906331609096e-06,4.54,5.05,0.9999999999999788,4.000000000000004,1.01550717422636,4.337420193364694,4.701997482414466,0.8545331590634975,-0.3353645179118736,-0.115486077662108,0.7669583686857218,-7.999999999999963,1.0000000000000009
2026-07-14T00:12:35.155083+00:00,2026-07-13,R0,R0,R1,R0,0.1159407189251904,low,0.5061586635385882,0.3534450077628482,0.0704600829599029,0.0699362457386606,0.37159622161013,0.4860859713317014,0.0571589035290844,0.0851589035290844,0.8242928783772121,0.0961229714471806,0.0795831141407342,1.0360348731266563e-06,4.56,5.06,0.9999999999999788,2.999999999999936,1.4199872410486811,1.8081765701204235,-0.6411508268807542,-0.5107205424773165,-5.755942496153732,-1.9770572087784768,-0.0642789060198101,-2.0000000000000018,3.0000000000000027
2026-07-15T00:11:17.101804+00:00,2026-07-14,R0,R1,R1,R2,0.1101905428310656,low,0.2858022119978756,0.3276530493735618,0.3165501746173019,0.0699945640112608,0.37159622161013,0.4860859713317014,0.0571589035290844,0.0851589035290844,0.0894263626758557,0.0099772715334017,0.9005926080503396,3.7577404028724434e-06,4.62,5.1,16.999999999999993,14.999999999999948,1.1378467531132586,1.620074372995517,-0.1163190492942223,-0.8484862581173092,-4.372967468036948,-1.6083312099499647,0.1368036144228313,2.9999999999999805,5.000000000000004
2026-07-16T00:54:01.306946+00:00,2026-07-15,R1,R0,R0,R2,0.10517600438382457,low,0.3822888656501853,0.23935396235855153,0.3083132749626553,0.07004389702860772,0.4860859713317014,0.32959622161013,0.09915890352908441,0.0851589035290844,0.18176816976691154,0.028476044773093248,0.7897547356100107,1.0498499844733037e-06,4.58,5.08,9.999999999999964,11.000000000000032,0.8501456844527411,0.2549662936359498,-3.423556305828157,0.12854385741487562,-6.247798272382588,-1.3636052191193793,0.17487032677221404,1.000000000000023,4.0000000000000036
